2019/01/21 19:04:58 version: 20181114
2019/01/21 19:04:58 initiating key derivation
2019/01/21 19:04:58 listening on: [::]:1081
2019/01/21 19:04:58 encryption: salsa20
2019/01/21 19:04:58 nodelay parameters: 1 20 2 1
2019/01/21 19:04:58 remote address: 65.49.234.246:29900
2019/01/21 19:04:58 sndwnd: 512 rcvwnd: 512
2019/01/21 19:04:58 compression: true
2019/01/21 19:04:58 mtu: 1350
2019/01/21 19:04:58 datashard: 10 parityshard: 3
2019/01/21 19:04:58 acknodelay: false
2019/01/21 19:04:58 dscp: 0
2019/01/21 19:04:58 sockbuf: 4194304
2019/01/21 19:04:58 keepalive: 10
2019/01/21 19:04:58 conn: 1
2019/01/21 19:04:58 autoexpire: 0
2019/01/21 19:04:58 scavengettl: 600
2019/01/21 19:04:58 snmplog: 
2019/01/21 19:04:58 snmpperiod: 60
2019/01/21 19:04:58 quiet: false
2019/01/21 19:04:58 connection: 192.168.1.10:52931 -> 65.49.234.246:29900
2019/01/21 19:05:05 stream opened
2019/01/21 19:05:05 stream opened
2019/01/21 19:05:05 stream opened
2019/01/21 19:05:06 stream opened
2019/01/21 19:05:06 stream closed
2019/01/21 19:05:07 stream opened
2019/01/21 19:05:07 stream opened
2019/01/21 19:05:07 stream opened
2019/01/21 19:05:07 stream closed
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:08 stream opened
2019/01/21 19:05:10 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:11 stream opened
2019/01/21 19:05:12 stream closed
2019/01/21 19:05:12 stream closed
2019/01/21 19:05:13 stream opened
2019/01/21 19:05:13 stream opened
2019/01/21 19:05:14 stream closed
2019/01/21 19:05:14 stream opened
2019/01/21 19:05:14 stream opened
2019/01/21 19:05:14 stream closed
2019/01/21 19:05:14 stream opened
2019/01/21 19:05:14 stream opened
2019/01/21 19:05:14 stream opened
2019/01/21 19:05:14 stream closed
2019/01/21 19:05:15 stream closed
2019/01/21 19:05:16 stream opened
2019/01/21 19:05:16 stream opened
2019/01/21 19:05:16 stream opened
2019/01/21 19:05:17 stream opened
2019/01/21 19:05:17 stream closed
2019/01/21 19:05:17 stream opened
2019/01/21 19:05:17 stream closed
2019/01/21 19:05:17 stream closed
2019/01/21 19:05:18 stream closed
2019/01/21 19:05:18 stream closed
2019/01/21 19:05:18 stream closed
2019/01/21 19:05:18 stream closed
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream closed
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream opened
2019/01/21 19:05:20 stream closed
2019/01/21 19:05:21 stream closed
2019/01/21 19:05:21 stream closed
2019/01/21 19:05:22 stream opened
2019/01/21 19:05:23 stream closed
2019/01/21 19:05:23 stream opened
2019/01/21 19:05:23 stream opened
2019/01/21 19:05:23 stream opened
2019/01/21 19:05:24 stream closed
2019/01/21 19:05:24 stream closed
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:26 stream closed
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:26 stream opened
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream opened
2019/01/21 19:05:27 stream opened
2019/01/21 19:05:27 stream opened
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream closed
2019/01/21 19:05:27 stream opened
2019/01/21 19:05:28 stream closed
2019/01/21 19:05:28 stream opened
2019/01/21 19:05:28 stream opened
2019/01/21 19:05:28 stream opened
2019/01/21 19:05:29 stream closed
2019/01/21 19:05:29 stream closed
2019/01/21 19:05:29 stream opened
2019/01/21 19:05:29 stream opened
2019/01/21 19:05:29 stream closed
2019/01/21 19:05:29 stream opened
2019/01/21 19:05:30 stream closed
2019/01/21 19:05:30 stream opened
2019/01/21 19:05:30 stream closed
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream closed
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream closed
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream closed
2019/01/21 19:05:31 stream closed
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:31 stream closed
2019/01/21 19:05:31 stream closed
2019/01/21 19:05:31 stream opened
2019/01/21 19:05:32 stream opened
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream opened
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream closed
2019/01/21 19:05:32 stream opened
2019/01/21 19:05:33 stream closed
2019/01/21 19:05:33 stream closed
2019/01/21 19:05:33 stream opened
2019/01/21 19:05:33 stream opened
2019/01/21 19:05:33 stream closed
2019/01/21 19:05:33 stream closed
2019/01/21 19:05:33 stream opened
2019/01/21 19:05:33 stream closed
2019/01/21 19:05:33 stream closed
2019/01/21 19:05:33 stream opened
2019/01/21 19:05:33 stream opened
2019/01/21 19:05:34 stream closed
2019/01/21 19:05:34 stream closed
2019/01/21 19:05:34 stream closed
2019/01/21 19:05:34 stream closed
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream closed
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:34 stream closed
2019/01/21 19:05:34 stream opened
2019/01/21 19:05:35 stream opened
2019/01/21 19:05:35 stream closed
2019/01/21 19:05:35 stream closed
2019/01/21 19:05:35 stream opened
2019/01/21 19:05:35 stream closed
2019/01/21 19:05:35 stream closed
2019/01/21 19:05:35 stream opened
2019/01/21 19:05:35 stream closed
2019/01/21 19:05:35 stream closed
2019/01/21 19:05:36 stream closed
2019/01/21 19:05:36 stream opened
2019/01/21 19:05:36 stream closed
2019/01/21 19:05:36 stream opened
2019/01/21 19:05:36 stream opened
2019/01/21 19:05:37 stream closed
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:37 stream closed
2019/01/21 19:05:37 stream closed
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:37 stream opened
2019/01/21 19:05:38 stream opened
